INFO 2024-11-29 17:47:43,591 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-29 17:47:43,591 autoreload Waiting for apps ready_event.
DEBUG 2024-11-29 17:47:43,775 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-29 17:47:43,789 autoreload Watching dir C:\Python312\Lib\site-packages\jazzmin\templates with glob **/*.
DEBUG 2024-11-29 17:47:43,789 autoreload Watching dir C:\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-29 17:47:43,789 autoreload Watching dir C:\projects\daryo-api-django\api\templates with glob **/*.
DEBUG 2024-11-29 17:47:43,789 autoreload Watching dir C:\projects\daryo-api-django\locale with glob **/*.mo.
DEBUG 2024-11-29 17:47:43,794 autoreload Watching dir C:\Python312\Lib\site-packages\jazzmin\locale with glob **/*.mo.
DEBUG 2024-11-29 17:47:43,794 autoreload Watching dir C:\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-29 17:47:43,794 autoreload Watching dir C:\Python312\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-11-29 17:47:43,795 autoreload Watching dir C:\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-11-29 17:47:43,795 autoreload Watching dir C:\projects\daryo-api-django\api\locale with glob **/*.mo.
DEBUG 2024-11-29 17:47:43,858 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-29 17:47:43,865 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\types.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\google\protobuf\message.py first seen with mtime 1731780289.8614326
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\assistant_tool_choice_option.py first seen with mtime 1731399199.7770655
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\assistant_tool.py first seen with mtime 1731399199.77446
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\threads\runs\code_interpreter_output_image.py first seen with mtime 1731399199.816686
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\openai\_utils\_transform.py first seen with mtime 1731399199.660081
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\pydantic\v1\parse.py first seen with mtime 1731388189.4857924
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\django\db\models\base.py first seen with mtime 1730979580.7399952
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\django\core\files\move.py first seen with mtime 1730979580.6921537
DEBUG 2024-11-29 17:47:44,443 autoreload File C:\Python312\Lib\site-packages\pydantic\_internal\_std_types_schema.py first seen with mtime 1731388189.4391737
DEBUG 2024-11-29 17:47:44,459 autoreload File C:\Python312\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1730979580.72397
DEBUG 2024-11-29 17:47:44,459 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\services\discuss_service\transports\grpc.py first seen with mtime 1731388191.9617467
DEBUG 2024-11-29 17:47:44,459 autoreload File C:\Python312\Lib\site-packages\httpcore\_backends\base.py first seen with mtime 1732792709.6830873
DEBUG 2024-11-29 17:47:44,461 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1730979579.8064795
DEBUG 2024-11-29 17:47:44,461 autoreload File C:\Python312\Lib\site-packages\pandas\util\version\__init__.py first seen with mtime 1731399520.5153842
DEBUG 2024-11-29 17:47:44,461 autoreload File C:\Python312\Lib\site-packages\pandas\compat\pickle_compat.py first seen with mtime 1731399519.7170124
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\httpcore\_sync\interfaces.py first seen with mtime 1732792709.6958582
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\pydantic\_internal\_known_annotated_metadata.py first seen with mtime 1731388189.4336202
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\django\template\library.py first seen with mtime 1730979580.7999983
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Users\user\AppData\Roaming\Python\Python312\site-packages\pygments\lexer.py first seen with mtime 1707359913.2360394
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\pydantic\errors.py first seen with mtime 1731388189.389751
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\chardet\jisfreq.py first seen with mtime 1731780066.0930083
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\pydantic\version.py first seen with mtime 1731388189.4143603
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\thread_deleted.py first seen with mtime 1731399199.7920394
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\openai\types\fine_tuning\job_create_params.py first seen with mtime 1731399199.8582056
DEBUG 2024-11-29 17:47:44,462 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\services\model_service\transports\rest.py first seen with mtime 1731388191.9934742
DEBUG 2024-11-29 17:47:44,467 autoreload File C:\Python312\Lib\site-packages\django\utils\connection.py first seen with mtime 1730979580.815418
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1730979580.8321
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\grpc\_runtime_protos.py first seen with mtime 1731388187.184275
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\openai\types\fine_tuning\fine_tuning_job.py first seen with mtime 1731399199.8561845
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\google\protobuf\__init__.py first seen with mtime 1731780289.8371284
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\encodings\unicode_escape.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\chardet\mbcssm.py first seen with mtime 1731780066.1051161
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\pandas\io\api.py first seen with mtime 1731399519.8562675
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\anyio\abc\_testing.py first seen with mtime 1731399199.218921
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\django\utils\http.py first seen with mtime 1730979580.8230586
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\site-packages\google\generativeai\types\safety_types.py first seen with mtime 1731388193.1579878
DEBUG 2024-11-29 17:47:44,468 autoreload File C:\Python312\Lib\asyncio\transports.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1730979580.8300445
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\google\api_core\future\__init__.py first seen with mtime 1731780292.0961604
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1730979578.9840734
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\openai\types\fine_tuning\job_list_params.py first seen with mtime 1731399199.8582056
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\pandas\core\arrays\categorical.py first seen with mtime 1731399519.7397418
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\pandas\core\groupby\categorical.py first seen with mtime 1731399519.7862904
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\openai\types\image_model.py first seen with mtime 1731399199.7481232
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\pandas\core\arrays\arrow\__init__.py first seen with mtime 1731399519.7569191
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\django\utils\__init__.py first seen with mtime 1730979580.8131354
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\threads\message_content_delta.py first seen with mtime 1731399199.806328
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\services\model_service\async_client.py first seen with mtime 1731388191.977386
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\proto\marshal\rules\struct.py first seen with mtime 1731388188.8053336
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\pandas\api\__init__.py first seen with mtime 1731399519.715382
DEBUG 2024-11-29 17:47:44,474 autoreload File C:\Python312\Lib\site-packages\pyparsing\common.py first seen with mtime 1731388186.381304
